Epoch [1/3], Step [83/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [84/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [85/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [86/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [87/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [88/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [89/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [90/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [91/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [92/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [93/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [94/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [95/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [96/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [97/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [98/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [99/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [100/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [101/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [102/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [103/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [104/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [105/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [106/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [107/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [108/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [109/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [110/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [111/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [112/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [113/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [114/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [115/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [116/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [117/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [118/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [119/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [120/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [121/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [122/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [123/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [124/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [125/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [126/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [127/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [128/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [129/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [130/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [131/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [132/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [133/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [134/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [135/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [136/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [137/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [138/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [139/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [140/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [141/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [142/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [143/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [144/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [145/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [146/3236], Loss: 0.0000, Perplexity: 1.0000
Epoch [1/3], Step [147/3236], Loss: 0.0000, Perplexity: 1.0000
